Transcription_N,Class
"ja hallo hier ist  ja ich hab' jetzt gerade zum dritten Mal bei Ihnen angerufen weil ich  kein Zugang zum Internet habe ich versteh' das das ist wohl vertraglich so festgehalten ist dass das in vier und zwanzig Stunden gemacht werden kann nichtsdestotrotz kann ich nicht arbeiten und jetzt der letzte Mitarbeiter drückt mich einfach weg das ist keine Dienstleistung das ist nicht in Ordnung   der Kunde ist immer noch König und   wann immer man anruft hat sich  jemand um das Anliegen zu kümmern das war nicht okay",b
"das ist keine Beratung das ist eine wochenlange Verarschung",d
"jetzt einfach weiter",0
"alles gut die Beratung war sehr freundlich zuvorkommend und wirklich in Ordnung und ich hoffe halt dass es jetzt auch schnell das Problem gelöst wird",0
"der Kundenberater Herr   der war sehr sehr freundlich allerdings konnte er mir bei meiner Problematik nicht wirklich weiterhelfen denn  es ist nämlich so dass die Rechnung die gestellt wurde nun leider trotzdem berechnet wird obwohl ich  die Leistungen gar nicht in Anspruch nehmen konnte ich soll für das Mietgerät den Speedport $W fünf hundert drei $V bezahlen für den Zeitraum obwohl der Anschluss noch nicht vorhanden war das ist sehr schade wie ich finde",4
"der Kundenberater Herr   der war sehr sehr freundlich allerdings konnte er mir bei meiner Problematik nicht wirklich weiterhelfen denn  es ist nämlich so dass die Rechnung die gestellt wurde nun leider trotzdem berechnet wird obwohl ich  die Leistungen gar nicht in Anspruch nehmen konnte ich soll für das Mietgerät den Speedport $W fünf hundert drei $V bezahlen für den Zeitraum obwohl der Anschluss noch nicht vorhanden war das ist sehr schade wie ich finde",1
"also der Herr war sehr freundlich und er schien mir auch hilfsbereit zu sein aber ich weiß ja nicht ob er's hinkriegt wenn er mir verspricht dass diese  Störung behoben wird  danke jetzt kann's weitergehen",0
"ich wurde  von Frau   gute beraten danke",0
"offene und verständliche Erklärungen",0
"hallo also der Service war angenehm allerdings fand ich  die da's um einen Umzug geht  die Gebühr zu teuer auch den neuen Tarif  fand' ich als so nicht  optimal oder nicht korrekt für uns die wenig ein Telefon benutzen",2
"hallo also der Service war angenehm allerdings fand ich  die da's um einen Umzug geht  die Gebühr zu teuer auch den neuen Tarif  fand' ich als so nicht  optimal oder nicht korrekt für uns die wenig ein Telefon benutzen",1
"das Gespräch auf das sich diese Bewertung bezieht hat leider nicht stattgefunden ich habe drei Minuten gewartet am Telefon  es kam keine Verbindung zustande wenn's eine Sechs als Bewertung gäbe hätt' ich eine Sechs oder Sieben gedrückt weiter",a
"weiter",0
"weiter weiter",0
"das ist völlig unmöglich dass ich man mir die Auskunft gibt dass man seine Emails und Web_and_walk fast eine Woche nicht nutzen kann weil eine Störung vorliegt Service überlastet dann sollte man sich vielleicht mal einen größeren Server anschaffen",3
"weiter",0
"ich habe zuerst in [ort] in Ihrer   Vertretung angerufen dort konnte mir nicht geholfen werden dann  wurde ich an die zwei und zwanzig null zwo weitergeleitet dort konnte mir auch nicht geholfen werden ich wollte einfach nur wissen ob ich ein nachdem ich jetzt knapp etwa zwei Jahre mein Vertrag bei Ihnen habe ob ich ein neues iPhone Gerät bekomme oder nicht ich wurde sehr unhöflich und sehr unfreundlich behandelt es endete damit dass Ihre Mitarbeiterin im Servicecenter unter der zwei und zwanzig null zwo den Namen der Dame hab' ich leider vergessen  dass diese Dame einfach mit Auflegen das Gespräch beendete das ist Servicewüste Deutschland ich sag' mal ganz salopp eine einzige Katastrophe  es ich hatte überhaupt mit den Eindruck dass versucht worden ist mir zu helfen sondern ich wurde ganz entspannt weitergeleitet bloß kein Auftrag annehmen bloß nichts machen Servicewüste Deutschland Servicewüste Telekom bezahlen Sie weiter Ihre hohen Gehälter in Ihren Vorständen da sind Sie",1
"ich habe zuerst in [ort] in Ihrer   Vertretung angerufen dort konnte mir nicht geholfen werden dann  wurde ich an die zwei und zwanzig null zwo weitergeleitet dort konnte mir auch nicht geholfen werden ich wollte einfach nur wissen ob ich ein nachdem ich jetzt knapp etwa zwei Jahre mein Vertrag bei Ihnen habe ob ich ein neues iPhone Gerät bekomme oder nicht ich wurde sehr unhöflich und sehr unfreundlich behandelt es endete damit dass Ihre Mitarbeiterin im Servicecenter unter der zwei und zwanzig null zwo den Namen der Dame hab' ich leider vergessen  dass diese Dame einfach mit Auflegen das Gespräch beendete das ist Servicewüste Deutschland ich sag' mal ganz salopp eine einzige Katastrophe  es ich hatte überhaupt mit den Eindruck dass versucht worden ist mir zu helfen sondern ich wurde ganz entspannt weitergeleitet bloß kein Auftrag annehmen bloß nichts machen Servicewüste Deutschland Servicewüste Telekom bezahlen Sie weiter Ihre hohen Gehälter in Ihren Vorständen da sind Sie",d
"ich habe zuerst in [ort] in Ihrer   Vertretung angerufen dort konnte mir nicht geholfen werden dann  wurde ich an die zwei und zwanzig null zwo weitergeleitet dort konnte mir auch nicht geholfen werden ich wollte einfach nur wissen ob ich ein nachdem ich jetzt knapp etwa zwei Jahre mein Vertrag bei Ihnen habe ob ich ein neues iPhone Gerät bekomme oder nicht ich wurde sehr unhöflich und sehr unfreundlich behandelt es endete damit dass Ihre Mitarbeiterin im Servicecenter unter der zwei und zwanzig null zwo den Namen der Dame hab' ich leider vergessen  dass diese Dame einfach mit Auflegen das Gespräch beendete das ist Servicewüste Deutschland ich sag' mal ganz salopp eine einzige Katastrophe  es ich hatte überhaupt mit den Eindruck dass versucht worden ist mir zu helfen sondern ich wurde ganz entspannt weitergeleitet bloß kein Auftrag annehmen bloß nichts machen Servicewüste Deutschland Servicewüste Telekom bezahlen Sie weiter Ihre hohen Gehälter in Ihren Vorständen da sind Sie",b
"weiter",0
"wenn alles so funktioniert wie wir das besprochen haben dann war es wirklich sehr gut",0
"weiter also der  die Beratung war äußerst kompetent freundlich kurz und zielführend insgesamt sehr gut",0
"alles super alle Probleme gelöst ohne Wenn und Aber topp danke",0
"das Gespräch war sehr informativ und sehr ausführlich und man hat sich sehr viel Zeit genommen um mir das Problem zu erklären und hat mir damit auch sehr weitergeholfen",0
"ich habe mit Ihrer Mitarbeiterin Frau  gesprochen sie war sehr kompetent und konnte mir super weiterhelfen und  ich fühlte mich sehr gut beraten vielen Dank",0
"ich fühle mich sehr gut aufgehoben",0
"mit meiner mit meinem Gespräch und der Beratung mit dem Herrn das ich vorher geführt habe bin ich sehr zufrieden präzise genau pünktlich schnell",0
"es ist dem eigentlich nichts hinzuzufügen ich bin äußerst zufrieden wie bisher immer Dankeschön",0
"die Auskunft  war verständlich für mich und ich hoffe ich komme damit klar meinen Fehler zu beheben bezüglich meiner Internetverbindung",3
"anfangs schlecht verstanden die Dame die aber auf meine  auf mein Hilfe sofort  verbessert oder einwandfrei gesprochen und verstanden  weiter",0
"weiter",0
"ja ich hab' eben  mit der Frau  gesprochen und bin mit dem Gespräch die Frau  war sehr freundlich und sehr hilfsbereit so und jetzt weiter",0
"die Kollegin war äußerst freundlich sehr kompetent sehr hilfsbereit hat mir auch weitergeholfen was allerdings erschreckend ist dass ist einfach die Tatsache dass Sie Ihre Mitarbeiter nicht mit  schnellen Systemen ausstatten so dass der Kunden entsprechend lange warten muss  bis Ihre Mitarbeiter auf ein System haben und was absolut erschreckend ist ist die Tatsache wenn man Ihnen einen simplen Brief schreibt im September dass dieser schlichtweg greifend nicht bearbeitet weil offensichtlich die Telekom nicht mehr in der Lage ist die einfachsten Dinge zu erledigen das hat die Kollegin am Telefon jetzt weitgehend wieder aus dem Feuer gerissen aber es ist ein Armutszeugnis",1
"vielen Dank für das informative Gespräch",0
"Problem meine Mutter Festnetz Störung erst das Internet dann geht das Festnetz nicht mehr gestern Abend Auftrag an die Störungsstelle weitergeleitet zehn Uhr dreißig noch kein Rückruf die Nummer vom Handy angerufen [tel] krieg' ich gesagt ohne Kundennummer die ich nicht habe weil meine Mutter nicht da ist  kann sie mich nicht weiterleiten zur Störungsstelle das ja wohl lächerlich wieso muss ich mich dafür legitimieren dass das Telefon nicht mehr funktioniert  sie hätte mich einfach weiterleiten können und und das Problem an die andern übergeben die hätten nämlich mit einem Klick im Computer den Auftrag gefunden und alles was ich wollte nämlich einfach nur einen Rückruf vom Techniker damit ich das einigermaßen  kann heute wenn der kommt das ich das wenigstens klarmachen kann und nicht erst in zwei Stunden dann ist der Tag nämlich schon vorbei na wenigstens zur Hälfte und dann hat Sie mich aus der Leitung geschmissen weil ich anfing mich aufzuregen das find' ich den Oberhammer ja danke  weiter",3
"Problem meine Mutter Festnetz Störung erst das Internet dann geht das Festnetz nicht mehr gestern Abend Auftrag an die Störungsstelle weitergeleitet zehn Uhr dreißig noch kein Rückruf die Nummer vom Handy angerufen [tel] krieg' ich gesagt ohne Kundennummer die ich nicht habe weil meine Mutter nicht da ist  kann sie mich nicht weiterleiten zur Störungsstelle das ja wohl lächerlich wieso muss ich mich dafür legitimieren dass das Telefon nicht mehr funktioniert  sie hätte mich einfach weiterleiten können und und das Problem an die andern übergeben die hätten nämlich mit einem Klick im Computer den Auftrag gefunden und alles was ich wollte nämlich einfach nur einen Rückruf vom Techniker damit ich das einigermaßen  kann heute wenn der kommt das ich das wenigstens klarmachen kann und nicht erst in zwei Stunden dann ist der Tag nämlich schon vorbei na wenigstens zur Hälfte und dann hat Sie mich aus der Leitung geschmissen weil ich anfing mich aufzuregen das find' ich den Oberhammer ja danke  weiter",d
"weiter",0
"der Mitarbeiter war äußerst freundlich und zuvorkommend allerdings  das System an sich  ist problematisch da ich zwar einen Freischalt Code für mein T-Mobile als Geschäftskunde zugeschickt bekommen hab' aber scheinbar dieses System überhaupt nicht funktioniert",1
"jetzt weiter",0
"ich bin sofort durchgeschaltet worden was sehr selten unter der Servicenummer ist ich bin sehr freundlich   beraten worden und auch der Vorfall selber hat sich schnell erledigt und ist erklärt worden danke",0
"ich wollte das Alles gar nicht ich war mit der Hotline verbunden weil unser Fernseher nicht geht bitte schalten Sie mich auf die Nummer wieder zurück danke schalten Sie mich bitte auf die Nummer zurück danke ich wollte das nicht",3
"ich wollte das Alles gar nicht ich war mit der Hotline verbunden weil unser Fernseher nicht geht bitte schalten Sie mich auf die Nummer wieder zurück danke schalten Sie mich bitte auf die Nummer zurück danke ich wollte das nicht",a
"das Gespräch mit der Beraterin oder Technikerin war noch nicht beendet und ich wurde von Ihrer  Computerstimmer einfach unterbrochen find' ich unmöglich deshalb kann ich dieses Gespräch überhaupt nicht bewerten denn wenn ich es tun würde wäre es mit Sicherheit falsch",b
"eine Katastrophe wie immer möcht' den Namen eigentlich gar nicht mehr in den Mund nehmen mein Name ist [vorn]  die Nummer könnt Ihr sehen wie immer schreib' ich mir alle Namen auf vom Servicemann und wenn ihr mir das auch mit einem ein  zehn Uhr neunzehn aber er hat dann aufgelegt nachdem er es nicht geglaubt hat dass ich einen Fehler habe und ich ihm gesagt habe bitte helfen Sie mir doch ich hab' die ganze Anschlusskennung vor mir bitte fangen Sie doch an hat er scheinbar aufgelegt also ich mein das ist immer wieder dasselbe manchmal deswegen ruf' ich ja an weil ich einfach eine Hilfe brauche und wollte sagen ich hab' hier die Kennung alles spielen wir's zusammen durch mein Outlook geht nicht mein Internet geht ich kann keine Emails verschicken und bekomm' keine rein und ich wollte   geschäftlich arbeiten weil ich selbstständig bin aber immer dasselbe genervte Leute und keiner versucht zu helfen Wahnsinn immer wieder Wahnsinn aber es nützt ja wahrscheinlich auch nichts ruft mich ja eh keiner zurück und macht das meine Telefonnummer [tel] oder übers Handy [tel]",b
"eine Katastrophe wie immer möcht' den Namen eigentlich gar nicht mehr in den Mund nehmen mein Name ist [vorn]  die Nummer könnt Ihr sehen wie immer schreib' ich mir alle Namen auf vom Servicemann und wenn ihr mir das auch mit einem ein  zehn Uhr neunzehn aber er hat dann aufgelegt nachdem er es nicht geglaubt hat dass ich einen Fehler habe und ich ihm gesagt habe bitte helfen Sie mir doch ich hab' die ganze Anschlusskennung vor mir bitte fangen Sie doch an hat er scheinbar aufgelegt also ich mein das ist immer wieder dasselbe manchmal deswegen ruf' ich ja an weil ich einfach eine Hilfe brauche und wollte sagen ich hab' hier die Kennung alles spielen wir's zusammen durch mein Outlook geht nicht mein Internet geht ich kann keine Emails verschicken und bekomm' keine rein und ich wollte   geschäftlich arbeiten weil ich selbstständig bin aber immer dasselbe genervte Leute und keiner versucht zu helfen Wahnsinn immer wieder Wahnsinn aber es nützt ja wahrscheinlich auch nichts ruft mich ja eh keiner zurück und macht das meine Telefonnummer [tel] oder übers Handy [tel]",1
"weiter",0
"also das war eine ganz tolle  Beratung freundlich kompetent  schnell unkompliziert und so wie man sich das wünscht von einem  großen Partner der zwar teurer ist als der Rest aber  das ist mir's wert und das ich auch mit Menschen reden kann und die dann auch noch freundlich und zuvorkommend auf Ihre Kunden eingehen toller Service danke weiter",0
"also es war okay ich habe  Information bekommen die Frau war sehr nett muss ich sagen",0
"ich rufe in dieser Angelegenheit zum vierte Mal an zum vierten Mal werd' ich vertröstet es kommt ein Rückruf heute war's so dass ich einfach weggedrückt wurde und jetzt Ihre Befragung hab'",b
"die Telekom die ist für mich nicht mehr weiter zu empfehlen aus einem einfachen Grunde dass Sie die Rechnung nicht gescheit pflegt die Kunden sehr verunsichert und  bei ihnen im Service keine konkrete Auskunft gegeben wird selbst nach Korrekturen die  hab' ich jetzt schon dritten Monat angemahnt kommen immer wieder diese gleiche Rechnung es kein Geschäfts Gebaren für mich ist das  na ja auf gut Deutsch Schlamperei also nicht weiter zu empfehlen",4
"weiter",0
